FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%Minutes PercentagePercentage of team minutes used by a player while he was on the floor,"USG%Usage RateUsage rate, a.k.a., usage percentage is an estimate of the percentage of team plays used by a player while he was on the floor",TO%Turnover RateA metric that estimates the number of turnovers a player commits per 100 possessions,FTA,FT%,2PA,2P%,3PA,3P%,"eFG%Effective Shooting PercentageWith eFG%, three-point shots made are worth 50% more than two-point shots made. eFG% Formula=(FGM+ (0.5 x 3PM))/FGA","TS%True Shooting PercentageTrue shooting percentage is a measure of shooting efficiency that takes into account field goals, 3-point field goals, and free throws.",PPGPointsPoints per game.,RPGReboundsRebounds per game.,TRB%Total Rebound PercentageTotal rebound percentage is estimated percentage of available rebounds grabbed by the player while the player is on the court.,APGAssistsAssists per game.,AST%Assist PercentageAssist percentage is an estimated percentage of teammate field goals a player assisted while the player is on the court,SPGStealsSteals per game.,BPGBlocksBlocks per game.,TOPGTurnoversTurnovers per game.,"VIVersatility IndexVersatility index is a metric that measures a player’s ability to produce in points, assists, and rebounds. The average player will score around a five on the index, while top players score above 10",ORTGOffensive RatingIndividual offensive rating is the number of points produced by a player per 100 total individual possessions.,DRTGDefensive RatingIndividual defensive rating estimates how many points the player allowed per 100 possessions he individually faced while staying on the court.
Derrick Rose,Nyk,G,33.37,26,24.5,51,22.6,11.9,31,0.968,182,0.467,92,0.402,0.513,0.541,12,3,6.5,4,27.7,0.85,0.46,1.5,8.6,112.1,112.8
Derrick Walton Jr.,Det,G,26.89,3,36.1,75.1,15.3,28.4,4,1,13,0.231,13,0.231,0.288,0.342,6.3,3.3,5,7,27,2.33,1.33,3.67,5.8,76.4,109.5
Derrick White,San,G,27.63,49,30.3,63.2,20.7,12,160,0.869,312,0.519,258,0.314,0.497,0.551,14.4,3.5,6.1,5.6,25,1,0.86,1.78,8.7,113.4,108.1
Derrick White,Bos,G,27.63,4,30.3,63.2,20.4,10.7,12,0.75,19,0.579,26,0.231,0.444,0.487,12.3,4.3,7.5,3.8,18.3,1.5,1,1.5,7.7,104.5,98.7
Desmond Bane,Mem,G,23.65,56,30.2,62.9,23,9.6,108,0.907,417,0.499,387,0.419,0.561,0.587,17.9,4.5,7.8,2.5,12.3,1.16,0.45,1.61,7.8,115.4,104.5
Devin Booker,Pho,G,25.3,51,34.1,71.1,32,9.4,255,0.863,697,0.486,363,0.369,0.509,0.555,25.5,5.2,8.1,4.5,20.8,1.04,0.37,2.37,9.9,109.8,102.6
Devin Vassell,San,G-F,21.49,51,25.7,53.6,18.9,6.5,56,0.804,265,0.521,258,0.345,0.519,0.537,11.5,4.2,8.6,1.7,9,0.96,0.63,0.75,6.8,107.9,106.6
Devon Dotson,Chi,G,22.55,11,7.7,16.1,16.5,15.6,9,0.556,14,0.643,9,0.222,0.522,0.538,2.6,0.8,5.9,1.4,23.6,0.09,0,0.45,7.4,109.6,103.6
Devontae Cacok,San,F,25.36,10,8,16.6,14.9,7.1,7,0.571,23,0.696,0,0,0.696,0.69,3.6,3,19.6,0.2,3.6,0.5,0.7,0.2,6.5,132.2,93.3
Devonte' Graham,Nor,G,26.99,55,30.7,64,20.1,10.8,107,0.841,205,0.4,447,0.342,0.478,0.51,13,2.6,4.6,4.4,21.6,0.91,0.15,1.55,6.9,107.1,113.2
Dewayne Dedmon,Mia,C,32.52,50,16.4,34.2,16.7,17.4,72,0.778,193,0.591,31,0.516,0.616,0.649,6.6,6.1,21,0.7,6.9,0.42,0.54,1.08,7.4,120.6,91
Didi Louzada,Nor,G,20,2,3.5,7.2,18.8,0,0,0,0,0,3,0,0,0,0,1,16,0.5,17.9,0,0,0,0,,
Dillon Brooks,Mem,G-F,26.07,21,27.9,58.2,28.8,9.1,72,0.889,239,0.469,101,0.327,0.475,0.521,18.4,3.3,6.2,2.7,15.1,1.29,0.19,1.76,7.8,106.7,101.7
Domantas Sabonis,Ind,F-C,25.8,47,34.7,72.3,21.8,17.3,258,0.74,463,0.639,108,0.324,0.61,0.649,18.9,12.1,19.2,5,22.7,0.98,0.47,3.04,12.1,123.1,104.9
Domantas Sabonis,Sac,F-C,25.8,4,32.3,67.3,23.3,17,10,0.7,51,0.608,3,0,0.574,0.591,17.3,11.5,19.1,5.5,28.3,1,0.25,3,12.8,114.7,104
Donovan Mitchell,Uta,G,25.45,46,33.4,69.5,32.9,11.6,205,0.873,498,0.548,436,0.351,0.538,0.578,25.7,4.2,6.9,5.2,27.3,1.63,0.26,2.93,9.9,114.4,104.8
Donte DiVincenzo,Sac,G,25.05,3,24.9,51.9,19.2,6,8,1,10,0.4,18,0.222,0.357,0.444,9.3,4.3,9.3,4,21.9,2.33,0,0.67,8.7,107,111.6
Donte DiVincenzo,Mil,G,25.05,17,20.1,41.8,19.9,17.7,27,0.852,44,0.409,74,0.284,0.419,0.47,7.2,3.5,9.3,1.7,11.5,0.65,0.18,1.65,7,93.5,105.8
Dorian Finney-Smith,Dal,F,28.8,58,32.9,68.5,13.7,10.8,66,0.682,191,0.55,298,0.372,0.555,0.568,10.1,4.8,8,1.9,8.3,1.21,0.5,1.09,5.5,113.9,103.7
Doug McDermott,San,F,30.13,43,24.5,51,18.5,7.4,36,0.75,183,0.508,227,0.441,0.593,0.602,11.9,2.5,5.4,1.2,6.6,0.28,0.09,0.79,5.4,113.4,111.3
Draymond Green,Gol,F,31.96,34,29.9,62.4,14.4,31.5,67,0.597,159,0.604,42,0.286,0.567,0.581,7.9,7.6,13.6,7.4,33.6,1.38,1.21,3.12,10.2,110,96.5
Drew Eubanks,San,F-C,25.05,49,12.1,25.3,17.1,19.2,79,0.747,151,0.55,8,0.125,0.531,0.588,4.7,4,17.2,1,11.1,0.27,0.61,0.94,8.8,113.2,102.3
Duane Washington Jr.,Ind,G,21.9,28,19.8,41.2,21.9,9.9,29,0.759,118,0.415,123,0.341,0.465,0.485,8.8,1.8,5.1,1.9,14.2,0.5,0.04,1,6.3,97.7,111.8
Duncan Robinson,Mia,F,27.83,56,27.5,57.3,18.2,7.8,48,0.833,88,0.58,473,0.364,0.551,0.565,11.8,3,6.1,1.6,8.7,0.63,0.2,0.88,5.6,111.1,102.5
Dwight Howard,Lal,C-F,36.2,42,14.4,30,14.1,16.6,87,0.621,118,0.61,9,0.667,0.638,0.653,5.1,5.4,19.9,0.5,5,0.67,0.6,0.79,6.7,127.4,96
Dwight Powell,Dal,F-C,30.58,59,20.6,42.9,13,12.8,129,0.744,220,0.686,31,0.387,0.673,0.705,7.4,4.4,11.8,1.1,8.1,0.49,0.42,0.76,6.4,139.9,98.3
Dylan Windler,Cle,G-F,25.41,37,9.3,19.4,12,13.8,9,0.778,23,0.522,54,0.389,0.565,0.581,2.5,1.7,9.8,0.7,10,0.24,0.05,0.35,6.2,115,98.5
Ed Davis,Cle,C-F,32.71,19,7.5,15.6,7,22.2,8,0.375,14,0.643,0,0,0.643,0.599,1.1,2.3,16.8,0.3,4.6,0.16,0.42,0.26,4.9,110.1,86.4
Elfrid Payton,Pho,G,27.99,38,11.7,24.3,18.7,19.8,28,0.393,128,0.406,14,0.286,0.408,0.411,3.3,2,9.1,2.2,23.9,0.5,0.11,1,8.3,90.3,101.6
Elijah Hughes,Uta,G,23.95,14,8,16.7,17.2,15.8,3,1,8,0.625,28,0.357,0.556,0.576,3.1,1.2,8.2,0.4,7.5,0.29,0.07,0.5,5.7,104.3,105.8
Elijah Hughes,Por,G,23.95,3,14.2,29.5,18.4,5.6,0,0,6,0.333,11,0.091,0.206,0.206,2.3,2.7,10.3,1,9.5,0,0.67,0.33,5.2,60,106.8
Emanuel Terry,Pho,F,26.5,3,6.1,12.6,23.7,50,0,0,5,0,0,0,0,0,0,5,43.7,0.7,12.2,0.33,0,1.67,0,62,77.5
Emmanuel Mudiay,Sac,G,25.96,2,5.5,11.5,18.5,21,4,0.75,2,0,0,0,0,0.399,1.5,0,0,2,43.3,0.5,0,0.5,0,100.5,109
Enes Freedom,Bos,C,29.75,35,11.8,24.5,13.8,15.5,28,0.857,92,0.533,5,0.4,0.536,0.585,3.7,4.6,20.7,0.2,2.8,0.14,0.4,0.57,5.1,121.2,96.4
Eric Bledsoe,Lac,G,32.2,54,25.2,52.5,20.5,18.3,117,0.761,305,0.479,163,0.313,0.475,0.514,9.9,3.4,7,4.2,24.3,1.28,0.35,2.15,8.3,100,106
Eric Gordon,Hou,G,33.15,47,29.7,61.8,19.3,14.4,120,0.758,238,0.55,254,0.417,0.589,0.616,14.3,2,3.7,3,15.8,0.49,0.38,1.96,5.9,112.5,119.7
Eric Paschall,Uta,F,25.29,44,13.3,27.6,17.4,10.7,66,0.758,89,0.596,90,0.378,0.581,0.62,5.9,2.1,8.5,0.6,6.6,0.16,0.09,0.57,5.9,121.3,106.6
Eugene Omoruyi,Dal,F,25.01,4,4.5,9.3,17,0,4,0.5,3,0.333,2,0.5,0.5,0.518,1.8,1.8,21.6,0.5,16.1,0,0,0,10.4,130.9,96.3
Evan Fournier,Nyk,G-F,29.31,57,29.5,61.4,21.4,9.7,83,0.723,272,0.471,431,0.394,0.545,0.558,14.5,2.9,5.3,1.9,10.5,0.96,0.28,1.39,5.8,108.2,107.8
Evan Mobley,Cle,C,20.67,50,34.1,71,20.1,12.6,180,0.672,532,0.534,68,0.265,0.518,0.547,14.9,8.1,12.9,2.6,11.6,0.84,1.64,1.96,8,108,102.5
Facundo Campazzo,Den,G,30.91,54,20.3,42.3,14.9,17,72,0.806,97,0.485,178,0.32,0.482,0.527,6,1.9,5.3,3.7,24.3,1.07,0.39,1.17,6.9,111,103.1
Frank Jackson,Det,G,23.8,43,22.5,46.9,20.7,7,78,0.795,164,0.543,238,0.319,0.505,0.536,10.9,1.6,3.8,1,7,0.51,0.21,0.77,4.6,105.1,112.2
Frank Kaminsky,Pho,F-C,28.88,9,20.1,41.9,19,6.3,20,0.9,51,0.608,15,0.333,0.583,0.635,10.6,4.6,12,1.4,10.3,0.89,0.78,0.56,8.1,130.8,100.2
Frank Ntilikina,Dal,G,23.56,47,12.5,26.1,17.3,11.5,24,0.958,90,0.422,100,0.34,0.468,0.501,4.3,1.3,5.9,1.1,13.3,0.51,0.13,0.55,5.9,100.7,101.8
Franz Wagner,Orl,F,20.48,60,32,66.6,21.2,10.4,171,0.854,551,0.506,213,0.362,0.516,0.557,15.6,4.6,7.6,3,15.4,0.88,0.47,1.62,7.5,109.6,110.6
Fred VanVleet,Tor,G,27.98,50,38.4,80,24.1,12.5,175,0.874,366,0.443,501,0.401,0.535,0.572,21.6,4.6,6.5,7,28.2,1.64,0.52,2.7,9.2,117.4,108.7
Freddie Gillespie,Orl,F,20,9,13.2,27.5,11,16.6,7,0.429,21,0.429,1,0,0.409,0.419,2.3,4,16.1,0.6,5.9,0.33,1,0.56,5.4,97.8,98.5
Furkan Korkmaz,Phi,G-F,24.57,51,24,50,17.9,8.6,72,0.833,184,0.516,228,0.298,0.478,0.512,8.9,3,7,2.3,13.9,0.61,0.14,0.82,6.6,105,110.3
Gabe Vincent,Mia,G,25.68,50,24,50.1,17.9,15.6,45,0.822,147,0.503,243,0.374,0.54,0.559,9.2,2,4.8,3.4,20.8,0.94,0.24,1.52,6.6,109.1,101.4
Gabriel Deck,Okc,F,27.03,7,7.9,16.5,12.5,12.5,0,0,10,0.6,4,0.5,0.643,0.643,2.6,0.9,5.5,0.7,14.3,0.14,0,0.29,6,120.8,112
Garrett Temple,Nor,G-F,35.78,55,19.2,39.9,13.9,11.8,41,0.683,106,0.481,174,0.316,0.477,0.495,5.4,2.5,7.3,1.3,9.5,0.75,0.42,0.73,5.4,101,108.3
Garrison Mathews,Hou,G,25.32,41,27.4,57.1,15.3,7.1,131,0.809,54,0.611,267,0.371,0.565,0.619,11.4,3.4,6.8,1,5.6,0.68,0.34,0.71,4.9,122.8,110.5
Gary Clark,Nor,F,27.26,27,10.9,22.7,11.1,7.9,8,0.75,11,0.273,55,0.382,0.523,0.539,2.8,2.6,13.3,0.4,4.7,0.37,0.26,0.22,5.2,115,108.8
Gary Harris,Orl,G,27.43,52,29.4,61.2,16.4,9.5,79,0.848,230,0.509,258,0.38,0.541,0.569,11.4,2.1,3.9,1.9,10.1,0.9,0.15,1.06,4.9,110.1,112.5
Gary Payton II,Gol,G,29.21,56,16.6,34.5,14.5,9.4,50,0.58,163,0.767,94,0.362,0.685,0.683,6.8,3.5,11.4,0.8,7.1,1.39,0.32,0.52,6.4,129.9,95.3
Gary Trent Jr.,Tor,G-F,23.09,48,34.9,72.7,21.7,5.5,113,0.814,367,0.463,385,0.397,0.531,0.556,18.6,2.7,4.2,1.9,8.6,1.9,0.31,0.98,5.2,114.7,109.1
George Hill,Mil,G,35.8,41,25.5,53,12,12,50,0.96,117,0.556,117,0.316,0.515,0.564,7,3.2,6.7,2.5,12.8,0.8,0.15,0.85,6,119.2,109.1
George King,Dal,F-G,28.09,4,4.8,10,16.1,14.5,2,0.5,1,0,4,0,0,0.085,0.3,1.3,14.3,0,0,0,0,0.25,0,16.6,86.1
Georges Niang,Phi,F,28.67,54,23.4,48.7,17.3,9.3,51,0.863,149,0.497,267,0.397,0.56,0.582,9.4,2.7,6.4,1.5,9.7,0.39,0.17,0.83,5.8,111.5,103.5
Georgios Kalaitzakis,Mil,F,23.13,9,5.3,11.1,17,21.1,9,0.444,7,0.429,4,0.5,0.545,0.535,1.8,0.9,8.8,0,0,0.11,0.11,0.44,0,93.5,97.6
Giannis Antetokounmpo,Mil,F,27.2,49,32.7,68.2,35,12.4,545,0.721,718,0.61,188,0.309,0.579,0.63,29.4,11.2,18.1,6,34.1,0.98,1.39,3.31,15.3,123.1,98.9
Goga Bitadze,Ind,C-F,22.58,35,11.8,24.6,20.7,14.6,56,0.607,98,0.582,47,0.17,0.476,0.507,4.9,2.9,13.5,0.8,9.6,0.37,0.69,0.83,7.6,104.3,100.7
Goran Dragic,Tor,G,35.79,5,18,37.4,18.8,2.5,10,1,20,0.45,14,0.286,0.441,0.521,8,2.8,8.5,1.8,14.6,1,0.2,0.2,7.6,122,103.6
Gordon Hayward,Cha,F,31.91,48,32.2,67.1,20.6,10.6,149,0.846,393,0.499,218,0.39,0.529,0.571,16.1,4.6,7.5,3.6,16.3,0.96,0.46,1.67,8,113,111.8
Gorgui Dieng,Atl,C,32.09,37,9,18.7,16.7,15.8,24,0.708,42,0.548,54,0.426,0.599,0.619,3.6,3,18.4,0.8,12.2,0.27,0.35,0.54,9.1,121.9,99.7
Grant Williams,Bos,F,23.22,55,23.2,48.4,12,11.8,49,0.898,93,0.581,193,0.446,0.64,0.667,7.5,3.2,7.4,1.1,6.8,0.49,0.73,0.75,5.1,125.7,100.7
Grayson Allen,Mil,G,26.37,49,28,58.3,16.1,5.5,56,0.857,145,0.497,316,0.392,0.56,0.581,11.5,3.4,6.4,1.5,7.6,0.84,0.31,0.57,5.6,118.2,109.5
Greg Brown III,Por,F,20.47,28,7.9,16.4,20.6,9.6,30,0.633,60,0.517,21,0.19,0.457,0.494,3.3,2,14.1,0.3,4.9,0.29,0.36,0.36,6.4,103.6,101.5
Greg Monroe,Min,F-C,31.71,3,21,43.8,13.4,19.8,5,0.4,14,0.643,0,0,0.643,0.617,6.7,7,17.6,3.7,24.7,0.67,1.33,1.33,10.6,123.7,99.9
Greg Monroe,Mil,F-C,31.71,5,13.9,29,17.8,10.4,9,0.556,22,0.5,0,0,0.5,0.52,5.4,4.2,15.9,0.4,4.1,0.6,0.4,0.6,6,115.2,101.8
Greg Monroe,Was,F-C,31.71,2,8.8,18.3,25.2,20,0,0,8,0.5,0,0,0.5,0.5,4,5,31,0.5,9.5,0.5,0.5,1,9.8,113.6,100.7
Hamidou Diallo,Det,G,23.55,51,22.6,47,21.3,8.7,123,0.65,387,0.548,83,0.241,0.515,0.538,11.1,4.9,11.7,1.3,9.7,1.2,0.33,0.98,7.3,107.1,103.2
Harrison Barnes,Sac,F,29.72,55,33.7,70.2,19.3,10.4,309,0.828,347,0.51,264,0.409,0.555,0.625,17,6.1,9.7,2.5,10.7,0.71,0.16,1.58,7.6,122.3,114.6
Hassan Whiteside,Uta,C,32.69,46,18.5,38.5,17.8,11.5,121,0.653,254,0.63,0,0,0.63,0.649,8.7,7.8,22.9,0.4,3.2,0.3,1.52,0.87,6.5,130.5,92
Hassani Gravett,Orl,G,25.59,8,21.4,44.6,12.3,18.5,4,0.75,12,0.583,26,0.423,0.618,0.629,6.3,2.6,6.5,2.5,17.1,0.63,0.13,1.13,6.4,112.9,109.3
Haywood Highsmith,Mia,F,25.19,6,11.9,24.8,14.2,4.4,2,0,6,0.333,15,0.4,0.524,0.503,3.7,1.5,7.1,0,0,0,0.17,0.17,0,102.1,105.8
Herbert Jones,Nor,F,23.37,56,30,62.4,13.5,13.4,110,0.855,299,0.548,106,0.358,0.546,0.591,9.6,3.9,7.2,2.1,10.2,1.45,0.86,1.25,5.7,116.3,105.1
Ignas Brazdeikis,Orl,F,23.11,28,9,18.6,16,8.6,15,0.8,43,0.395,35,0.314,0.429,0.467,2.8,1.3,7.6,0.8,12.4,0.25,0.04,0.29,6.3,101.6,107.2
Immanuel Quickley,Nyk,G,22.67,55,21.3,44.3,21.6,12,93,0.914,197,0.421,268,0.328,0.462,0.509,9.4,2.3,5.8,3,22.2,0.6,0.05,1.25,7.5,106.2,104
Isaac Bonga,Tor,G,22.28,13,5.1,10.6,11.4,11.3,6,0.667,9,0.222,4,0.25,0.269,0.352,0.8,0.5,5.7,0.2,5.8,0.54,0.15,0.15,3.4,88.8,96.2
Isaac Okoro,Cle,F-G,21.06,43,28.8,60.1,13.5,11.6,99,0.778,179,0.559,114,0.316,0.526,0.572,9,3.1,5.9,1.9,9,0.79,0.33,1.02,5.2,115.2,102.3
Isaiah Hartenstein,Lac,C-F,23.79,47,16.1,33.6,18.6,16.4,78,0.667,226,0.628,9,0.444,0.63,0.646,7.4,4.4,14.3,1.9,18.2,0.74,1.13,1.13,9.8,123.1,94
Isaiah Jackson,Ind,F,20.11,20,9.6,20.1,24.2,10.1,33,0.667,76,0.553,7,0.429,0.56,0.59,5.8,2.8,15.8,0.4,6,0.55,0.75,0.55,7.8,117.2,93.9
Isaiah Joe,Phi,G,22.63,41,12.2,25.5,14.9,9,21,0.952,33,0.424,109,0.33,0.479,0.516,3.8,1.1,5.1,0.7,7.8,0.27,0.05,0.37,4.7,102.5,107.7
Isaiah Livers,Det,F,23.56,1,4.7,9.8,27.3,33.3,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,1,0,0,86.5
Isaiah Roby,Okc,F,24.04,22,15.1,31.6,19.4,12.1,27,0.667,87,0.552,32,0.406,0.567,0.585,7,3.7,12.3,0.7,7.6,0.59,0.45,0.82,7,112.7,99
Isaiah Stewart,Det,F-C,20.75,50,26,54.1,14.6,14.2,72,0.667,324,0.552,24,0.125,0.527,0.547,8.3,8.4,17.4,1.1,6.7,0.34,1.14,1.26,6.5,111.1,104.5
Isaiah Thomas,Lal,G,33.03,4,25.3,52.6,20.8,10.2,11,0.727,17,0.412,22,0.227,0.372,0.422,9.3,2,4.2,1.5,8.1,0,0.5,1.25,4.8,85.4,106
Isaiah Thomas,Dal,G,33.03,1,13.3,27.7,27,0,0,0,5,0.6,3,0,0.375,0.375,6,0,0,4,51.5,0,0,0,0,101,116.8
Isaiah Todd,Was,F,20.34,10,4.1,8.6,22.3,4.8,6,0.333,6,0.167,11,0.364,0.412,0.407,1.6,1,13.3,0.3,10.4,0.2,0.2,0.1,7.6,91.5,110.5
Ish Smith,Was,G,33.62,4,22,45.8,18.7,8.1,0,0,29,0.621,5,0.4,0.618,0.618,10.5,2.3,5.6,5.3,39.9,1,0.5,0.75,9.2,132.6,103.3
Ish Smith,Cha,G,33.62,37,13.8,28.8,18.9,15.7,19,0.632,160,0.394,25,0.4,0.422,0.434,4.5,1.5,5.8,2.6,26.5,0.54,0.27,0.97,7.5,94.7,110.8
Ish Wainright,Pho,F,27.44,29,7.4,15.5,14.2,14.1,7,0.429,27,0.444,31,0.29,0.44,0.442,1.9,1.3,9.1,0.3,5.8,0.31,0.17,0.34,4.9,96.9,95
Ivica Zubac,Lac,C,24.92,55,24.2,50.5,15.5,16.6,171,0.713,317,0.65,0,0,0.65,0.681,9.7,8,17.4,1.4,8.6,0.45,0.96,1.42,7.9,128.9,99.7
Ja Morant,Mem,G,22.53,46,33.2,69.1,33.2,12.8,323,0.755,721,0.542,209,0.33,0.532,0.575,26.8,5.8,9.2,6.9,35.2,1.22,0.39,3.41,12.3,115,108.9
Jabari Parker,Bos,F,26.93,12,9.4,19.5,19.5,16,9,1,22,0.455,16,0.5,0.579,0.632,4.4,2.3,13.3,0.5,8.1,0.33,0.08,0.67,7.3,113.2,94.6
Jaden McDaniels,Min,F,21.39,56,26.3,54.7,15,11.4,57,0.789,244,0.566,199,0.296,0.511,0.532,8.9,4.3,8.6,1.2,6.3,0.82,0.7,1.07,5.4,105.6,103
Jaden Springer,Phi,G,19.4,2,2.8,5.8,16.1,50,0,0,1,1,0,0,1,1,1,1,19.7,0,0,0,1,0.5,0,,
Jae Crowder,Pho,F,31.62,48,28.2,58.8,13.9,8.9,58,0.81,123,0.512,249,0.337,0.508,0.535,8.9,5.3,10,1.5,6.8,1.27,0.46,0.81,5.9,106.7,99.1
Jae'Sean Tate,Hou,F,26.31,56,27.4,57.1,19.9,15.1,159,0.717,397,0.589,147,0.286,0.546,0.577,12.6,5.6,11.1,3.1,17.8,0.95,0.59,1.95,8.8,112.3,105.7
Jahmi'us Ramsey,Sac,G,20.7,19,7.1,14.7,22.1,7.2,14,0.5,40,0.475,18,0.278,0.457,0.468,3.2,0.7,5.2,0.4,7.9,0.05,0.05,0.26,5.4,95.2,113.7
Jaime Echenique,Was,C,24.81,1,3.1,6.5,0,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,
Jake Layman,Min,F,27.95,23,7.3,15.3,14.7,11.8,8,0.75,23,0.609,26,0.154,0.408,0.438,2,1,7.5,0.3,5.6,0.26,0.17,0.3,4.6,88.9,110.6
Jakob Poeltl,San,C,26.35,49,28.9,60.1,18.2,12.8,131,0.466,471,0.614,1,1,0.615,0.606,13.1,9.2,16.6,2.8,14,0.73,1.78,1.59,9.6,122.6,103.1
Jalen Brunson,Dal,G,25.47,58,32.1,66.8,22.1,11,155,0.813,566,0.544,180,0.372,0.548,0.579,16.3,3.8,6.5,5.4,27.8,0.88,0.05,1.74,8.6,117.2,105.5
Jalen Green,Hou,G,20.03,43,30.4,63.3,22.8,13.6,154,0.818,273,0.462,267,0.311,0.464,0.516,14.6,3.1,5.6,2.3,11.9,0.58,0.19,2.23,6.2,97.6,117.1
Jalen Johnson,Atl,F,20.17,14,4.6,9.6,17.4,11.7,6,0.667,12,0.5,8,0.375,0.525,0.552,1.8,1.1,13.5,0.1,2.2,0,0.07,0.21,5.1,98.1,111.4
Jalen McDaniels,Cha,F-C,24.05,39,17.6,36.6,15.2,12.1,46,0.674,111,0.586,86,0.372,0.574,0.592,6.6,3.5,10.4,1.1,8.6,0.51,0.41,0.77,6.7,113.2,105.4
Jalen Smith,Ind,F-C,21.93,4,21,43.7,20.3,12.6,6,0.667,19,0.684,13,0.462,0.688,0.693,12,6.3,16.5,1,7.8,0.75,0.75,1.25,8.1,124,100.4
Jalen Smith,Pho,F-C,21.93,29,13.2,27.4,20.5,12.1,52,0.769,98,0.551,39,0.231,0.493,0.547,6,4.8,19.3,0.2,2.1,0.21,0.62,0.76,5.4,113.2,93.8
Jalen Suggs,Orl,G,20.71,39,28.2,58.7,25.6,18.2,143,0.776,307,0.44,162,0.228,0.406,0.462,12.6,3.7,7.1,4.4,24.4,1.26,0.41,3.03,8.4,89.5,105.1
James Bouknight,Cha,G,21.42,28,10.6,22,23.2,8,31,0.871,87,0.356,49,0.347,0.415,0.468,5,1.7,8.5,0.8,11,0.25,0.04,0.46,7.1,101.6,108.6
James Ennis III,Lac,F,31.64,2,14.1,29.3,21.5,7.3,4,1,7,0.714,4,0.5,0.727,0.784,10,2.5,9.3,0,0,0.5,0.5,0.5,0,145,98.2
James Ennis III,Bro,F,31.64,2,6.9,14.3,22,0,0,0,5,0.2,2,0.5,0.357,0.357,2.5,2.5,19.6,0,0,0.5,0.5,0,0,92.4,110.9
James Ennis III,Den,F,31.64,3,4.6,9.7,23.6,13.4,1,0,4,0.5,2,0,0.333,0.311,1.3,0.7,8,1,30.6,0,0,0.33,8.4,82.4,110.2
James Harden,Bro,G,32.48,44,37,77.1,28.4,19.8,350,0.869,399,0.476,307,0.332,0.486,0.576,22.5,8,11.6,10.2,40.4,1.27,0.7,4.82,13.2,111.4,107
James Johnson,Bro,F,35,43,19.3,40.2,14.4,11.9,38,0.474,172,0.564,55,0.255,0.52,0.521,5.9,3.6,9.9,2,14.1,0.51,0.35,0.77,7.2,109.8,102.2
Jamorko Pickett,Det,F,24.15,6,7.8,16.2,11.9,23.1,0,0,3,0,7,0.143,0.15,0.15,0.5,1.5,10.4,0.2,2.8,0,0.17,0.5,2.7,39.2,112.4
JaMychal Green,Den,F-C,31.66,45,14.9,31.1,19.2,13.7,61,0.869,128,0.594,98,0.265,0.509,0.56,6.3,3.7,13.9,0.8,7.9,0.69,0.42,0.89,7.1,108.8,95.6
JaQuori McLaughlin,Dal,G,24.06,4,2.7,5.7,8.2,0,0,0,1,0,1,0,0,0,0,0,0,0.5,22.7,0,0,0,0,,
Jared Butler,Uta,G,21.48,28,7.6,15.9,23.5,19.1,12,0.583,41,0.463,47,0.362,0.506,0.515,3.4,0.8,5.9,1.2,23.5,0.32,0.25,0.79,7.8,98.3,99
Jared Harper,Nor,G,24.43,2,5.3,10.9,33,12.5,0,0,5,0.4,2,0.5,0.5,0.5,3.5,0.5,5.3,1.5,54.6,0,0.5,0.5,10.4,109.4,100.6
Jaren Jackson Jr.,Mem,F-C,22.43,59,27.8,58,25.7,9.6,263,0.802,485,0.48,324,0.318,0.479,0.533,16.7,6,11.3,1.1,5.6,0.98,2.2,1.66,6.9,107.6,99.6
Jarred Vanderbilt,Min,F,22.88,54,26,54.2,10.9,14.5,93,0.656,261,0.613,11,0.182,0.599,0.618,7.2,8.8,17.9,1.4,7.2,1.46,0.72,0.98,6.9,128.7,101.4
Jarrett Allen,Cle,C,23.83,50,32.6,67.9,18.3,13,215,0.702,484,0.678,10,0.1,0.667,0.688,16.2,11,18.4,1.8,9,0.72,1.34,1.76,8.4,131.6,101.6
Jarrett Culver,Mem,G-F,23,27,9.2,19.2,19.8,10.9,23,0.522,63,0.476,33,0.303,0.469,0.481,3.8,1.4,8.2,1,14.4,0.56,0.15,0.48,7.6,101.8,99.6
Jarron Cumberland,Por,G,24.41,3,4.1,8.5,7.1,0,0,0,1,1,1,0,0.5,0.5,0.7,1,13.3,0.3,11.1,0,0,0,5.8,138.7,101.3
JaVale McGee,Pho,C-F,34.08,52,16.1,33.6,23.4,15.8,104,0.683,332,0.663,6,0.333,0.66,0.674,9.9,6.9,22.8,0.6,6.2,0.35,1,1.38,8.6,121.9,89.5
Javin DeLaurier,Mil,C,20,1,2.8,5.8,0,,0,0,0,0,0,0,,,0,1,18.8,0,0,1,0,0,0,,
Javonte Green,Chi,G-F,28.58,42,24.2,50.4,11.9,8.7,74,0.824,155,0.626,63,0.349,0.596,0.641,7.6,4.4,10.1,1.1,6,0.88,0.55,0.57,5.5,133.1,105.9
Javonte Smart,Mil,G,22.71,13,12.3,25.6,14.6,16.5,6,0.833,25,0.28,18,0.222,0.302,0.34,2.4,1.5,6.3,1.1,11.2,0.31,0.15,0.69,5.1,76.9,107.9
Jaxson Hayes,Nor,C-F,21.74,47,17,35.5,17.6,10.4,120,0.767,212,0.693,27,0.259,0.659,0.697,8.7,3.9,12.7,0.5,4.7,0.4,0.72,0.72,6,132.9,101.1
